ec5_uuid,created_at,uploaded_at,title,1_Establishing_a_new,lat_3_GPS_Location,long_3_GPS_Location,accuracy_3_GPS_Location,UTM_Northing_3_GPS_Location,UTM_Easting_3_GPS_Location,UTM_Zone_3_GPS_Location,4_Hexagon_,5_Plot_,6_Elevation_m,7_Slope___or_,8_Aspect,9_Slope_Position,10_Surface_Shape,11_Slope_Length,12_Slope_Uniformity,13_Slope_Continuity,14_Photo__North,15_Photo__East,16_Photo__South,17_Photo__West,18_Photo__VegGround,19_Photo__Overhead,20_Additional_Commen,22_Hexagon_,23_Plot_,24_Species,25_If_other_fill_in,26_Is_it_a_snag,27_DBH_cm__tenth_dec,28_Age_Taken,29_If_age_is_taken_r,30_For_tress_that_ar,31_Tree_Class,32_Live_crown_class,33_Conk,34_Blind_Conk,35_Fork_Crook,36_Scar,37_Frost_Damage,38_Mistletoe,39_Rotten_Bark,40_Dead_or_broken_to,41_Insect_Damage,42_Fire_Damage,43_Down_Tree,44_Additional_Commen,lat_46_399m_Plot_Centre_,long_46_399m_Plot_Centre_,accuracy_46_399m_Plot_Centre_,UTM_Northing_46_399m_Plot_Centre_,UTM_Easting_46_399m_Plot_Centre_,UTM_Zone_46_399m_Plot_Centre_,47_Hexagon_,48_Plot_,49_399m_Plot,51_Hexagon_,52_Plot_,53_Sub_Plot_,54_Sapling_or_Regene,55_Species,56_If_other_fill_in,57_Regeneration_Heig,58_Tree_count_indivi,59_Avg_DBH_Sapling_o,60_Avg_Height_Saplin,61_Additional_Commen,lat_63_CWD_POC_Location,long_63_CWD_POC_Location,accuracy_63_CWD_POC_Location,UTM_Northing_63_CWD_POC_Location,UTM_Easting_63_CWD_POC_Location,UTM_Zone_63_CWD_POC_Location,64_Hexagon_,65_Plot_,66_Transect_,67_Azimuth,69_Hexagon_,70_Plot_,71_Transect_,72_Position_along_tr,73_Type_of_CWD,74_If_other_and_it_i,75_Species,76_Decay_class,77_DBH_at_transect_c,78_Length_cm,79_DBH_Left_cm__tent,80_Distance_off_grou,81_DBH_Right_cm__ten,82_Distance_off_grou,83_Tag_Id,84_Additional_Commen
2753bb02-66aa-4496-ba28-88cc437bc488,2021-05-26T22:23:17.366Z,2021-05-27T01:09:07.000Z,1,"No, 11.28m Plot - Core Tree collection",,,,,,,,,,,,,,,,,,,,,,,,1,2,Sx: spruce hybrid,,Down (Dead) (0-45%),27,,,,7: Mature - Dead potential,1 (0-25% healthy),,,,,,,,,7: Grey Attack (Spruce and Fir),,E: Less than or equal to one clean break,Conks. Bottom  1/3(after fall),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05f3cddb-648f-4dbb-ac1d-6a6c1f347925,2021-05-26T22:22:45.753Z,2021-05-27T00:26:15.000Z,1,"No, 11.28m Plot - Core Tree collection",,,,,,,,,,,,,,,,,,,,,,,,1,2,Pl: lodgepole pine,,Down (Dead) (0-45%),21,,,,9: Younger immature - Dead potential,1 (0-25% healthy),1: Bottom 1/3 only,,,,,,,,"3: Grey Attach (Balsam, White, Yellow or Lodgepole Pine)",,E: Less than or equal to one clean break,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d026a7e6-00ea-4490-bc02-76523f416c0b,2021-05-26T22:18:01.869Z,2021-05-27T00:26:12.000Z,1,"No, 11.28m Plot - Core Tree collection",,,,,,,,,,,,,,,,,,,,,,,,1,2,Other,,Down (Dead) (0-45%),21,,,,4: Dead useless,1 (0-25% healthy),,,,,,,,,,,G: More than one clean break OR more shattered Break ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8f5ca346-d60e-4e54-8c2d-9b53f6d73542,2021-05-26T22:17:51.380Z,2021-05-27T01:09:04.000Z,1,"No, 11.28m Plot - Core Tree collection",,,,,,,,,,,,,,,,,,,,,,,,1,2,Sx: spruce hybrid,,Snag (Dead) (45-90%) ,31.1,,,,7: Mature - Dead potential,1 (0-25% healthy),,,,,,,,,,,G: More than one clean break OR more shattered Break ,Tomatosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a7437edf-ff83-4fae-bcee-383be17200a2,2021-05-26T22:16:36.912Z,2021-05-27T00:26:09.000Z,1,"No, 11.28m Plot - Core Tree collection",,,,,,,,,,,,,,,,,,,,,,,,1,2,Other,,Down (Dead) (0-45%),27.9,,,,4: Dead useless,1 (0-25% healthy),,,,,,,,,,,G: More than one clean break OR more shattered Break ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
feae51e4-9cfb-4bc2-9487-e727120d6d3e,2021-05-26T22:14:52.975Z,2021-05-27T00:26:06.000Z,1,"No, 11.28m Plot - Core Tree collection",,,,,,,,,,,,,,,,,,,,,,,,1,2,Pl: lodgepole pine,,Down (Dead) (0-45%),28,,,,7: Mature - Dead potential,1 (0-25% healthy),,,,,,,,,"3: Grey Attach (Balsam, White, Yellow or Lodgepole Pine)",,G: More than one clean break OR more shattered Break ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5dcd0d95-608d-4b16-adbd-544f946a9728,2021-05-26T22:13:25.527Z,2021-05-27T01:09:01.000Z,1,"No, 11.28m Plot - Core Tree collection",,,,,,,,,,,,,,,,,,,,,,,,1,2,Sx: spruce hybrid,,Down (Dead) (0-45%),40.2,,,,7: Mature - Dead potential,1 (0-25% healthy),,,,,,,,,,,E: Less than or equal to one clean break,Blue stain in roots (uprooted),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3afc722-9b82-4e16-b911-2cab852f9679,2021-05-26T22:12:56.762Z,2021-05-27T00:26:03.000Z,1,"No, 11.28m Plot - Core Tree collection",,,,,,,,,,,,,,,,,,,,,,,,1,2,Sx: spruce hybrid,,Down (Dead) (0-45%),27.5,,,,3: Older Immature. Dead Potential,1 (0-25% healthy),5: Top and middle,,,,,,,,,,G: More than one clean break OR more shattered Break ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c65ec28e-7a3f-4c85-9375-a886a00fc567,2021-05-26T22:09:53.078Z,2021-05-27T00:26:00.000Z,1,"No, 11.28m Plot - Core Tree collection",,,,,,,,,,,,,,,,,,,,,,,,1,2,Other,,Down (Dead) (0-45%),21.7,,,,3: Older Immature. Dead Potential,1 (0-25% healthy),,,,,,,,,,,E: Less than or equal to one clean break,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1f6b82b6-994d-4185-9dc1-2cf3ba639308,2021-05-26T22:05:37.930Z,2021-05-27T00:25:57.000Z,1,"No, 11.28m Plot - Core Tree collection",,,,,,,,,,,,,,,,,,,,,,,,1,2,Pl: lodgepole pine,,Down (Dead) (0-45%),34.3,,,,7: Mature - Dead potential,1 (0-25% healthy),,,,,,,,,"2: Red Attach (Balsam, White, Yellow or Lodgepole Pine)",,E: Less than or equal to one clean break,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4865c51e-2ec0-42a6-86d3-55a042932eb3,2021-05-26T22:04:20.025Z,2021-05-27T01:08:58.000Z,1,"No, 11.28m Plot - Core Tree collection",,,,,,,,,,,,,,,,,,,,,,,,1,2,Sx: spruce hybrid,,Down (Dead) (0-45%),27.8,,,,7: Mature - Dead potential,1 (0-25% healthy),,,,,,,,,,,E: Less than or equal to one clean break,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3f540208-a820-4e07-bdb7-96b8acf1dbaf,2021-05-26T22:00:13.975Z,2021-05-27T00:25:53.000Z,1,"No, 11.28m Plot - Core Tree collection",,,,,,,,,,,,,,,,,,,,,,,,1,2,Other,,Down (Dead) (0-45%),27.7,,,,4: Dead useless,1 (0-25% healthy),,,,,,,,,,,E: Less than or equal to one clean break,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1b83f4d0-7791-4643-88d5-e5052b419e41,2021-05-26T21:58:31.723Z,2021-05-27T00:25:50.000Z,1,"No, 11.28m Plot - Core Tree collection",,,,,,,,,,,,,,,,,,,,,,,,1,2,Other,,Down (Dead) (0-45%),28,,,,4: Dead useless,1 (0-25% healthy),,,,,,,,,,,G: More than one clean break OR more shattered Break ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
817ddb23-88bf-4650-8313-6b26040fb8e9,2021-05-26T21:57:14.232Z,2021-05-27T00:25:46.000Z,1,"No, 11.28m Plot - Core Tree collection",,,,,,,,,,,,,,,,,,,,,,,,1,2,Pl: lodgepole pine,,Down (Dead) (0-45%),26.6,,,,7: Mature - Dead potential,1 (0-25% healthy),,,,,,,,,"3: Grey Attach (Balsam, White, Yellow or Lodgepole Pine)",,E: Less than or equal to one clean break,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77922bbd-bb3b-485e-9f3b-4fef6a865d4d,2021-05-26T21:56:38.069Z,2021-05-27T01:08:56.000Z,1,"No, 11.28m Plot - Core Tree collection",,,,,,,,,,,,,,,,,,,,,,,,1,2,Pl: lodgepole pine,,Down (Dead) (0-45%),20.5,,,,3: Older Immature. Dead Potential,1 (0-25% healthy),,,,,,,,,"3: Grey Attach (Balsam, White, Yellow or Lodgepole Pine)",,G: More than one clean break OR more shattered Break ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07d5fd00-bf2e-4d9d-b9f7-9efcc7296a40,2021-05-26T21:51:43.260Z,2021-05-27T01:08:53.000Z,1,"No, 11.28m Plot - Core Tree collection",,,,,,,,,,,,,,,,,,,,,,,,1,2,Sx: spruce hybrid,,Down (Dead) (0-45%),34,,,,7: Mature - Dead potential,1 (0-25% healthy),,,,,,,,,7: Grey Attack (Spruce and Fir),,E: Less than or equal to one clean break,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
074993fa-af4d-4ea9-8953-2c324bfded4f,2021-05-26T21:51:14.390Z,2021-05-27T00:25:43.000Z,1,"No, 11.28m Plot - Core Tree collection",,,,,,,,,,,,,,,,,,,,,,,,1,2,Sx: spruce hybrid,,Down (Dead) (0-45%),35.3,,,,7: Mature - Dead potential,1 (0-25% healthy),7: Present in all 3rds ,,,,,,,,7: Grey Attack (Spruce and Fir),,E: Less than or equal to one clean break,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e20c7b5-8979-412b-aca5-5d27ec2e4155,2021-05-26T21:48:36.752Z,2021-05-27T01:08:50.000Z,1,"No, 11.28m Plot - Core Tree collection",,,,,,,,,,,,,,,,,,,,,,,,1,2,Other,,Down (Dead) (0-45%),28.4,,,,7: Mature - Dead potential,1 (0-25% healthy),,,,,,,,,"3: Grey Attach (Balsam, White, Yellow or Lodgepole Pine)",,E: Less than or equal to one clean break,Beetle attack - enterence/ exit holes but no pattern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8c8868bc-91cc-40ee-b078-9801a0243347,2021-05-26T21:47:45.163Z,2021-05-27T00:25:39.000Z,1,"No, 11.28m Plot - Core Tree collection",,,,,,,,,,,,,,,,,,,,,,,,1,2,Pl: lodgepole pine,,Down (Dead) (0-45%),31.9,,,,7: Mature - Dead potential,1 (0-25% healthy),,,,,,,,,"3: Grey Attach (Balsam, White, Yellow or Lodgepole Pine)",,E: Less than or equal to one clean break,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2ee5466f-8ea6-45ae-8565-fbf3ae7a9fc5,2021-05-26T21:44:12.091Z,2021-05-27T00:25:36.000Z,1,"No, 11.28m Plot - Core Tree collection",,,,,,,,,,,,,,,,,,,,,,,,1,2,Pl: lodgepole pine,,Down (Dead) (0-45%),17.3,,,,3: Older Immature. Dead Potential,1 (0-25% healthy),,,,,,,,,"3: Grey Attach (Balsam, White, Yellow or Lodgepole Pine)",,G: More than one clean break OR more shattered Break ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
