ec5_uuid,created_at,uploaded_at,title,1_Establishing_a_new,lat_3_GPS_Location,long_3_GPS_Location,accuracy_3_GPS_Location,UTM_Northing_3_GPS_Location,UTM_Easting_3_GPS_Location,UTM_Zone_3_GPS_Location,4_Hexagon_,5_Plot_,6_Elevation_m,7_Slope___or_,8_Aspect,9_Slope_Position,10_Surface_Shape,11_Slope_Length,12_Slope_Uniformity,13_Slope_Continuity,14_Photo__North,15_Photo__East,16_Photo__South,17_Photo__West,18_Photo__VegGround,19_Photo__Overhead,20_Additional_Commen,22_Hexagon_,23_Plot_,24_Species,25_If_other_fill_in,26_Is_it_a_snag,27_DBH_cm__tenth_dec,28_Age_Taken,29_If_age_is_taken_r,30_For_tress_that_ar,31_Tree_Class,32_Live_crown_class,33_Conk,34_Blind_Conk,35_Fork_Crook,36_Scar,37_Frost_Damage,38_Mistletoe,39_Rotten_Bark,40_Dead_or_broken_to,41_Insect_Damage,42_Fire_Damage,43_Down_Tree,44_Additional_Commen,lat_46_399m_Plot_Centre_,long_46_399m_Plot_Centre_,accuracy_46_399m_Plot_Centre_,UTM_Northing_46_399m_Plot_Centre_,UTM_Easting_46_399m_Plot_Centre_,UTM_Zone_46_399m_Plot_Centre_,47_Hexagon_,48_Plot_,49_399m_Plot,51_Hexagon_,52_Plot_,53_Sub_Plot_,54_Sapling_or_Regene,55_Species,56_If_other_fill_in,57_Regeneration_Heig,58_Tree_count_indivi,59_Avg_DBH_Sapling_o,60_Avg_Height_Saplin,61_Additional_Commen,lat_63_CWD_POC_Location,long_63_CWD_POC_Location,accuracy_63_CWD_POC_Location,UTM_Northing_63_CWD_POC_Location,UTM_Easting_63_CWD_POC_Location,UTM_Zone_63_CWD_POC_Location,64_Hexagon_,65_Plot_,66_Transect_,67_Azimuth,69_Hexagon_,70_Plot_,71_Transect_,72_Position_along_tr,73_Type_of_CWD,74_If_other_and_it_i,75_Species,76_Decay_class,77_DBH_at_transect_c,78_Length_cm,79_DBH_Left_cm__tent,80_Distance_off_grou,81_DBH_Right_cm__ten,82_Distance_off_grou,83_Tag_Id,84_Additional_Commen
eb690350-f4e8-11eb-8b6b-43291cd259b0,2021-08-04T05:57:58.406Z,2021-08-04T06:00:08.000Z,1,"No, 11.28m Plot - Core Tree collection",,,,,,,,,,,,,,,,,,,,,,,,1,2,"Sb: black spruce",,"Standing (Live)",28.1,Yes,H1P2SIT4,25.3,"1: Older Immature","4 (75-100% healthy)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80afd890-f4e8-11eb-8b6b-43291cd259b0,2021-08-04T05:54:59.353Z,2021-08-04T05:57:57.000Z,1,"No, 11.28m Plot - Core Tree collection",,,,,,,,,,,,,,,,,,,,,,,,1,2,"Sb: black spruce",,"Standing (Live)",22.6,Yes,H1P2SIT3,36.1,"1: Older Immature","3 (50-75% healthy)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1655b330-f4e7-11eb-8b6b-43291cd259b0,2021-08-04T05:44:51.431Z,2021-08-04T05:54:48.000Z,1,"No, 11.28m Plot - Core Tree collection",,,,,,,,,,,,,,,,,,,,,,,,1,2,"Sx: spruce hybrid",,"Standing (Live)",36.9,Yes,H1P2SIT2,28.8,"1: Older Immature","4 (75-100% healthy)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0305bf59-9887-49a7-8c22-7827e978aa4f,2021-08-04T05:26:54.900Z,2021-08-04T05:27:52.000Z,3,"No, 11.28m Plot - Core Tree collection",,,,,,,,,,,,,,,,,,,,,,,,3,2,"Bl: subalpine fir",,"Standing (Live)",28.7,Yes,H3P2SIT4,23.6,"5: Mature","4 (75-100% healthy)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b33dbc73-6291-4dbf-8e3e-ab6974ae3dfe,2021-08-04T05:25:37.509Z,2021-08-04T05:27:50.000Z,3,"No, 11.28m Plot - Core Tree collection",,,,,,,,,,,,,,,,,,,,,,,,3,2,"Bl: subalpine fir",,"Standing (Live)",30.7,Yes,H3P2SIT3,28.2,"8: Younger immature","4 (75-100% healthy)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e209f9c1-dfed-4162-b005-897ddb968b83,2021-08-04T05:24:06.763Z,2021-08-04T05:27:48.000Z,3,"No, 11.28m Plot - Core Tree collection",,,,,,,,,,,,,,,,,,,,,,,,3,2,"Sx: spruce hybrid",,"Standing (Live)",53.4,,H3P2SIT2,23.8,"8: Younger immature","4 (75-100% healthy)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f51b7c64-bc87-4fa3-b84b-edc8cc59bb83,2021-08-04T05:22:48.432Z,2021-08-04T05:27:46.000Z,3,"No, 11.28m Plot - Core Tree collection",,,,,,,,,,,,,,,,,,,,,,,,3,2,"Sx: spruce hybrid",,"Standing (Live)",48.5,Yes,H3P2SIT1,27.8,"8: Younger immature","4 (75-100% healthy)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e9a18582-08a1-45e2-b9af-acfe461b006b,2021-08-04T05:21:48.276Z,2021-08-04T05:27:44.000Z,1,"No, 11.28m Plot - Core Tree collection",,,,,,,,,,,,,,,,,,,,,,,,1,1,"Ac: poplar",,"Standing (Live)",55.1,Yes,H1P1SIT4,22.8,"5: Mature","4 (75-100% healthy)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41b68277-4300-40d8-9dd1-2c5827019456,2021-08-04T05:20:38.819Z,2021-08-04T05:27:42.000Z,1,"No, 11.28m Plot - Core Tree collection",,,,,,,,,,,,,,,,,,,,,,,,1,1,"Ac: poplar",,"Standing (Live)",61.5,Yes,H1P1SIT3,,"5: Mature","4 (75-100% healthy)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52a65a3a-a7a0-40de-9c0f-faf1ae483a51,2021-08-04T05:19:04.642Z,2021-08-04T05:27:40.000Z,1,"No, 11.28m Plot - Core Tree collection",,,,,,,,,,,,,,,,,,,,,,,,1,1,"Sx: spruce hybrid",,"Standing (Live)",61.5,Yes,H1P1SIT2,42.6,"2: Older immature - Suspect","4 (75-100% healthy)",,,,"1: Bottom 1/3 only",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
011a8441-b914-4b75-9cce-f703d8d525f6,2021-08-04T05:07:18.558Z,2021-08-04T05:27:38.000Z,1,"No, 11.28m Plot - Core Tree collection",,,,,,,,,,,,,,,,,,,,,,,,1,1,"Sx: spruce hybrid",,"Standing (Live)",33.3,Yes,H1P1SIT1,32.3,"5: Mature","3 (50-75% healthy)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97c58340-f4d4-11eb-8b6b-43291cd259b0,2021-08-04T03:32:28.148Z,2021-08-04T05:44:50.000Z,1,"No, 11.28m Plot - Core Tree collection",,,,,,,,,,,,,,,,,,,,,,,,1,2,"Sx: spruce hybrid",,"Standing (Live)",38.1,Yes,H1P2SIT1,24.2,"2: Older immature - Suspect","4 (75-100% healthy)",,,,"1: Bottom 1/3 only",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28ad60c8-6def-460f-a802-ccb38878e5d9,2021-07-29T22:20:09.261Z,2021-07-30T23:06:21.000Z,15,"No, 11.28m Plot - Core Tree collection",,,,,,,,,,,,,,,,,,,,,,,,15,2,"Bl: subalpine fir",,"Standing (Live)",20,Yes,H15P2SIT3,21.2,"1: Older Immature","4 (75-100% healthy)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184c9e34-5939-40c1-a3e4-f1d438c1db19,2021-07-29T22:17:53.496Z,2021-07-30T23:06:19.000Z,15,"No, 11.28m Plot - Core Tree collection",,,,,,,,,,,,,,,,,,,,,,,,15,2,"Sx: spruce hybrid",,"Standing (Live)",29.2,Yes,H15P2SIT1,25.4,"8: Younger immature","4 (75-100% healthy)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07fdfdad-db74-46fb-a9c0-a6fa9cc0008d,2021-07-29T22:12:29.941Z,2021-07-30T23:06:17.000Z,15,"No, 11.28m Plot - Core Tree collection",,,,,,,,,,,,,,,,,,,,,,,,15,2,"Fd: douglas-fir",,"Standing (Live)",22.2,,,,"8: Younger immature","4 (75-100% healthy)",,,"2: Middle 1/3 only",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
