ec5_uuid,created_at,uploaded_at,title,1_Establishing_a_new,lat_3_GPS_Location,long_3_GPS_Location,accuracy_3_GPS_Location,UTM_Northing_3_GPS_Location,UTM_Easting_3_GPS_Location,UTM_Zone_3_GPS_Location,4_Hexagon_,5_Plot_,6_Elevation_m,7_Slope___or_,8_Aspect,9_Slope_Position,10_Surface_Shape,11_Slope_Length,12_Slope_Uniformity,13_Slope_Continuity,14_Photo__North,15_Photo__East,16_Photo__South,17_Photo__West,18_Photo__VegGround,19_Photo__Overhead,20_Additional_Commen,22_Hexagon_,23_Plot_,24_Species,25_If_other_fill_in,26_Is_it_a_snag,27_DBH_cm__tenth_dec,28_Age_Taken,29_If_age_is_taken_r,30_For_tress_that_ar,31_Tree_Class,32_Live_crown_class,33_Conk,34_Blind_Conk,35_Fork_Crook,36_Scar,37_Frost_Damage,38_Mistletoe,39_Rotten_Bark,40_Dead_or_broken_to,41_Insect_Damage,42_Fire_Damage,43_Down_Tree,44_Additional_Commen,lat_46_399m_Plot_Centre_,long_46_399m_Plot_Centre_,accuracy_46_399m_Plot_Centre_,UTM_Northing_46_399m_Plot_Centre_,UTM_Easting_46_399m_Plot_Centre_,UTM_Zone_46_399m_Plot_Centre_,47_Hexagon_,48_Plot_,49_399m_Plot,51_Hexagon_,52_Plot_,53_Sub_Plot_,54_Sapling_or_Regene,55_Species,56_If_other_fill_in,57_Regeneration_Heig,58_Tree_count_indivi,59_Avg_DBH_Sapling_o,60_Avg_Height_Saplin,61_Additional_Commen,lat_63_CWD_POC_Location,long_63_CWD_POC_Location,accuracy_63_CWD_POC_Location,UTM_Northing_63_CWD_POC_Location,UTM_Easting_63_CWD_POC_Location,UTM_Zone_63_CWD_POC_Location,64_Hexagon_,65_Plot_,66_Transect_,67_Azimuth,69_Hexagon_,70_Plot_,71_Transect_,72_Position_along_tr,73_Type_of_CWD,74_If_other_and_it_i,75_Species,76_Decay_class,77_DBH_at_transect_c,78_Length_cm,79_DBH_Left_cm__tent,80_Distance_off_grou,81_DBH_Right_cm__ten,82_Distance_off_grou,83_Tag_Id,84_Additional_Commen
c3b9b098-ada2-473c-873a-77524da8e7e5,2021-08-23T21:53:56.886Z,2021-09-21T14:29:33.000Z,16,"No, 11.28m Plot - Core Tree collection",,,,,,,,,,,,,,,,,,,,,,,,16,5,Sx: spruce hybrid,,Standing (Live),22,,,,1: Older Immature,3 (50-75% healthy),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c72f3801-7d57-47f8-b939-292a0806f59a,2021-08-23T21:53:15.142Z,2021-09-21T14:29:31.000Z,16,"No, 11.28m Plot - Core Tree collection",,,,,,,,,,,,,,,,,,,,,,,,16,5,Bl: subalpine fir,,Standing (Live),25.2,,,,1: Older Immature,4 (75-100% healthy),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d6d03c54-deb8-4063-aa62-80b3145b5ad6,2021-08-23T21:52:38.016Z,2021-09-21T14:29:29.000Z,16,"No, 11.28m Plot - Core Tree collection",,,,,,,,,,,,,,,,,,,,,,,,16,5,Sx: spruce hybrid,,Snag (Dead) (45-90%) ,9.4,,,,1: Older Immature,1 (0-25% healthy),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8e8f9ff6-8520-4a77-93d4-c316f9d71c5f,2021-08-23T21:51:27.463Z,2021-09-21T14:29:26.000Z,16,"No, 11.28m Plot - Core Tree collection",,,,,,,,,,,,,,,,,,,,,,,,16,5,Sx: spruce hybrid,,Standing (Live),22,,,,1: Older Immature,4 (75-100% healthy),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fa831628-3293-4525-bb26-bde6756e0602,2021-08-23T21:50:35.874Z,2021-09-21T14:29:24.000Z,16,"No, 11.28m Plot - Core Tree collection",,,,,,,,,,,,,,,,,,,,,,,,16,5,Bl: subalpine fir,,Standing (Live),31.8,,,,1: Older Immature,4 (75-100% healthy),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07ab0360-a27d-47a8-bea5-5ef4ae308d46,2021-08-23T21:50:00.180Z,2021-09-21T14:29:22.000Z,16,"No, 11.28m Plot - Core Tree collection",,,,,,,,,,,,,,,,,,,,,,,,16,5,Bl: subalpine fir,,Standing (Live),19.3,,,,1: Older Immature,4 (75-100% healthy),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1f9d8d03-22a3-4996-b7ab-64d36411324b,2021-08-23T21:49:21.059Z,2021-09-21T14:29:20.000Z,16,"No, 11.28m Plot - Core Tree collection",,,,,,,,,,,,,,,,,,,,,,,,16,5,Bl: subalpine fir,,Snag (Dead) (45-90%) ,10.6,,,,1: Older Immature,1 (0-25% healthy),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ebab0229-ce1c-46da-aa3a-405b8547641a,2021-08-23T21:48:33.811Z,2021-09-21T14:29:17.000Z,16,"No, 11.28m Plot - Core Tree collection",,,,,,,,,,,,,,,,,,,,,,,,16,5,Bl: subalpine fir,,Standing (Live),28.7,,,,1: Older Immature,3 (50-75% healthy),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
406dcb75-af55-426a-a671-b5a63bff33ef,2021-08-23T21:47:49.405Z,2021-09-21T14:29:15.000Z,16,"No, 11.28m Plot - Core Tree collection",,,,,,,,,,,,,,,,,,,,,,,,16,5,Sx: spruce hybrid,,Standing (Live),10.2,,,,2: Older immature - Suspect,2 (25-50% healthy),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a1a898e7-f98e-480e-99aa-c387f18a4a85,2021-08-23T21:47:30.904Z,2021-09-21T14:29:12.000Z,16,"No, 11.28m Plot - Core Tree collection",,,,,,,,,,,,,,,,,,,,,,,,16,5,Sx: spruce hybrid,,Standing (Live),34.8,,,,1: Older Immature,4 (75-100% healthy),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
