ec5_uuid,created_at,uploaded_at,title,1_Establishing_a_new,lat_3_GPS_Location,long_3_GPS_Location,accuracy_3_GPS_Location,UTM_Northing_3_GPS_Location,UTM_Easting_3_GPS_Location,UTM_Zone_3_GPS_Location,4_Hexagon_,5_Plot_,6_Elevation_m,7_Slope___or_,8_Aspect,9_Slope_Position,10_Surface_Shape,11_Slope_Length,12_Slope_Uniformity,13_Slope_Continuity,14_Photo__North,15_Photo__East,16_Photo__South,17_Photo__West,18_Photo__VegGround,19_Photo__Overhead,20_Additional_Commen,22_Hexagon_,23_Plot_,24_Species,25_If_other_fill_in,26_Is_it_a_snag,27_DBH_cm__tenth_dec,28_Age_Taken,29_If_age_is_taken_r,30_For_tress_that_ar,31_Tree_Class,32_Live_crown_class,33_Conk,34_Blind_Conk,35_Fork_Crook,36_Scar,37_Frost_Damage,38_Mistletoe,39_Rotten_Bark,40_Dead_or_broken_to,41_Insect_Damage,42_Fire_Damage,43_Down_Tree,44_Additional_Commen,lat_46_399m_Plot_Centre_,long_46_399m_Plot_Centre_,accuracy_46_399m_Plot_Centre_,UTM_Northing_46_399m_Plot_Centre_,UTM_Easting_46_399m_Plot_Centre_,UTM_Zone_46_399m_Plot_Centre_,47_Hexagon_,48_Plot_,49_399m_Plot,51_Hexagon_,52_Plot_,53_Sub_Plot_,54_Sapling_or_Regene,55_Species,56_If_other_fill_in,57_Regeneration_Heig,58_Tree_count_indivi,59_Avg_DBH_Sapling_o,60_Avg_Height_Saplin,61_Additional_Commen,lat_63_CWD_POC_Location,long_63_CWD_POC_Location,accuracy_63_CWD_POC_Location,UTM_Northing_63_CWD_POC_Location,UTM_Easting_63_CWD_POC_Location,UTM_Zone_63_CWD_POC_Location,64_Hexagon_,65_Plot_,66_Transect_,67_Azimuth,69_Hexagon_,70_Plot_,71_Transect_,72_Position_along_tr,73_Type_of_CWD,74_If_other_and_it_i,75_Species,76_Decay_class,77_DBH_at_transect_c,78_Length_cm,79_DBH_Left_cm__tent,80_Distance_off_grou,81_DBH_Right_cm__ten,82_Distance_off_grou,83_Tag_Id,84_Additional_Commen
d11747a3-4656-4e91-ad5c-01639d1cdb63,2021-07-28T22:13:22.022Z,2021-07-29T00:44:35.000Z,15,"No, 11.28m Plot - Core Tree collection",,,,,,,,,,,,,,,,,,,,,,,,15,1,Fd: douglas-fir,,Standing (Live),32.6,,,,8: Younger immature,4 (75-100% healthy),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0594f4d0-9fdc-499b-a13b-5fc9a3e312dd,2021-07-28T22:12:39.267Z,2021-07-29T00:44:32.000Z,15,"No, 11.28m Plot - Core Tree collection",,,,,,,,,,,,,,,,,,,,,,,,15,1,Bl: subalpine fir,,Standing (Live),18.4,,,,8: Younger immature,4 (75-100% healthy),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51fb47c4-89a3-46c0-834f-4b8810b0233f,2021-07-28T22:11:29.215Z,2021-07-29T00:44:29.000Z,15,"No, 11.28m Plot - Core Tree collection",,,,,,,,,,,,,,,,,,,,,,,,15,1,Sx: spruce hybrid,,Snag (Dead) (45-90%) ,16.8,,,,9: Younger immature - Dead potential,1 (0-25% healthy),,,,,,,,5: Top and middle,7: Grey Attack (Spruce and Fir),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fad8a71b-3090-4003-93a4-d6a9bf93620f,2021-07-28T22:09:08.310Z,2021-07-29T00:44:26.000Z,15,"No, 11.28m Plot - Core Tree collection",,,,,,,,,,,,,,,,,,,,,,,,15,1,Sx: spruce hybrid,,Standing (Live),9.8,,,,8: Younger immature,4 (75-100% healthy),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ec0ddbf5-1f80-4b58-a29e-7afd9e2e33cc,2021-07-28T22:07:23.244Z,2021-07-29T00:44:23.000Z,15,"No, 11.28m Plot - Core Tree collection",,,,,,,,,,,,,,,,,,,,,,,,15,1,Bl: subalpine fir,,Standing (Live),17.9,,,,8: Younger immature,2 (25-50% healthy),,,1: Bottom 1/3 only,1: Bottom 1/3 only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5fdbd29c-d40f-433c-9f96-1da8b0922e92,2021-07-28T22:05:01.388Z,2021-07-29T00:44:20.000Z,15,"No, 11.28m Plot - Core Tree collection",,,,,,,,,,,,,,,,,,,,,,,,15,1,Bl: subalpine fir,,Standing (Live),28.8,,,,3: Older Immature. Dead Potential,1 (0-25% healthy),,,,,,,,,"3: Grey Attach (Balsam, White, Yellow or Lodgepole Pine)",,,Sap sucker and woodpecker damage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2b16b9ef-c0af-43ed-b4de-cabd3699c70e,2021-07-28T22:03:34.978Z,2021-07-29T00:44:17.000Z,15,"No, 11.28m Plot - Core Tree collection",,,,,,,,,,,,,,,,,,,,,,,,15,1,Sx: spruce hybrid,,Standing (Live),7.9,,,,8: Younger immature,4 (75-100% healthy),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
717865d3-e37b-4837-aa34-e7fd57842297,2021-07-28T22:01:20.203Z,2021-07-29T00:44:14.000Z,15,"No, 11.28m Plot - Core Tree collection",,,,,,,,,,,,,,,,,,,,,,,,15,1,Sx: spruce hybrid,,Standing (Live),39.6,,,,2: Older immature - Suspect,4 (75-100% healthy),,,1: Bottom 1/3 only,1: Bottom 1/3 only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
765f96ce-41a3-46c3-8eab-bc5bdf4c83e8,2021-07-28T21:59:43.645Z,2021-07-29T00:44:11.000Z,15,"No, 11.28m Plot - Core Tree collection",,,,,,,,,,,,,,,,,,,,,,,,15,1,Bl: subalpine fir,,Standing (Live),12.9,,,,8: Younger immature,4 (75-100% healthy),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ceb2365a-6bc2-47bc-812f-4ffbe3a6bf2a,2021-07-28T21:58:37.012Z,2021-07-29T00:44:08.000Z,15,"No, 11.28m Plot - Core Tree collection",,,,,,,,,,,,,,,,,,,,,,,,15,1,Bl: subalpine fir,,Standing (Live),12.2,,,,8: Younger immature,4 (75-100% healthy),,,,4: Bottom and middle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
