ec5_uuid,created_at,uploaded_at,title,1_Establishing_a_new,lat_3_GPS_Location,long_3_GPS_Location,accuracy_3_GPS_Location,UTM_Northing_3_GPS_Location,UTM_Easting_3_GPS_Location,UTM_Zone_3_GPS_Location,4_Hexagon_,5_Plot_,6_Elevation_m,7_Slope___or_,8_Aspect,9_Slope_Position,10_Surface_Shape,11_Slope_Length,12_Slope_Uniformity,13_Slope_Continuity,14_Photo__North,15_Photo__East,16_Photo__South,17_Photo__West,18_Photo__VegGround,19_Photo__Overhead,20_Additional_Commen,22_Hexagon_,23_Plot_,24_Species,25_If_other_fill_in,26_Is_it_a_snag,27_DBH_cm__tenth_dec,28_Age_Taken,29_If_age_is_taken_r,30_For_tress_that_ar,31_Tree_Class,32_Live_crown_class,33_Conk,34_Blind_Conk,35_Fork_Crook,36_Scar,37_Frost_Damage,38_Mistletoe,39_Rotten_Bark,40_Dead_or_broken_to,41_Insect_Damage,42_Fire_Damage,43_Down_Tree,44_Additional_Commen,lat_46_399m_Plot_Centre_,long_46_399m_Plot_Centre_,accuracy_46_399m_Plot_Centre_,UTM_Northing_46_399m_Plot_Centre_,UTM_Easting_46_399m_Plot_Centre_,UTM_Zone_46_399m_Plot_Centre_,47_Hexagon_,48_Plot_,49_399m_Plot,51_Hexagon_,52_Plot_,53_Sub_Plot_,54_Sapling_or_Regene,55_Species,56_If_other_fill_in,57_Regeneration_Heig,58_Tree_count_indivi,59_Avg_DBH_Sapling_o,60_Avg_Height_Saplin,61_Additional_Commen,lat_63_CWD_POC_Location,long_63_CWD_POC_Location,accuracy_63_CWD_POC_Location,UTM_Northing_63_CWD_POC_Location,UTM_Easting_63_CWD_POC_Location,UTM_Zone_63_CWD_POC_Location,64_Hexagon_,65_Plot_,66_Transect_,67_Azimuth,69_Hexagon_,70_Plot_,71_Transect_,72_Position_along_tr,73_Type_of_CWD,74_If_other_and_it_i,75_Species,76_Decay_class,77_DBH_at_transect_c,78_Length_cm,79_DBH_Left_cm__tent,80_Distance_off_grou,81_DBH_Right_cm__ten,82_Distance_off_grou,83_Tag_Id,84_Additional_Commen
87d637b9-b76a-49ae-b258-d43ad98f4e80,2021-06-23T22:25:50.865Z,2021-06-28T20:07:47.000Z,7,"No, 11.28m Plot - Core Tree collection",,,,,,,,,,,,,,,,,,,,,,,,7,7,Bl: subalpine fir,,Standing (Live),8.5,,,,8: Younger immature,2 (25-50% healthy),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48d656e7-dce3-45a6-a285-29f0176816a7,2021-06-23T22:25:15.803Z,2021-06-28T20:07:45.000Z,7,"No, 11.28m Plot - Core Tree collection",,,,,,,,,,,,,,,,,,,,,,,,7,7,Bl: subalpine fir,,Standing (Live),10.4,,,,8: Younger immature,3 (50-75% healthy),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3c8b9684-b595-4352-bdc9-278972002e96,2021-06-23T22:24:24.995Z,2021-06-28T20:07:44.000Z,7,"No, 11.28m Plot - Core Tree collection",,,,,,,,,,,,,,,,,,,,,,,,7,7,Bl: subalpine fir,,Standing (Live),9.7,,,,8: Younger immature,2 (25-50% healthy),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
758af201-c906-4ebd-9774-f0a733ddeaae,2021-06-23T22:23:41.789Z,2021-06-28T20:07:42.000Z,7,"No, 11.28m Plot - Core Tree collection",,,,,,,,,,,,,,,,,,,,,,,,7,7,Sx: spruce hybrid,,Standing (Live),10.5,,,,8: Younger immature,4 (75-100% healthy),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8c5dff22-5a49-41e2-80cd-4bd598bc51fe,2021-06-23T22:23:11.907Z,2021-06-28T20:07:40.000Z,7,"No, 11.28m Plot - Core Tree collection",,,,,,,,,,,,,,,,,,,,,,,,7,7,Sx: spruce hybrid,,Standing (Live),31.4,,,,8: Younger immature,4 (75-100% healthy),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b708b9de-d477-434b-9cbe-9eac16596d54,2021-06-23T22:22:06.015Z,2021-06-28T20:07:38.000Z,7,"No, 11.28m Plot - Core Tree collection",,,,,,,,,,,,,,,,,,,,,,,,7,7,Bl: subalpine fir,,Standing (Live),21.7,,,,1: Older Immature,4 (75-100% healthy),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4761c113-c28e-4b56-8800-a46bb54530d4,2021-06-23T22:20:52.672Z,2021-06-28T20:07:36.000Z,7,"No, 11.28m Plot - Core Tree collection",,,,,,,,,,,,,,,,,,,,,,,,7,7,Sx: spruce hybrid,,Standing (Live),18.5,,,,8: Younger immature,4 (75-100% healthy),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a0db733a-3755-4bd5-94b7-0dac2206ec5a,2021-06-23T22:20:14.692Z,2021-06-28T20:07:34.000Z,7,"No, 11.28m Plot - Core Tree collection",,,,,,,,,,,,,,,,,,,,,,,,7,7,Sx: spruce hybrid,,Standing (Live),28.4,,,,8: Younger immature,4 (75-100% healthy),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7f8736d1-cf27-42ea-970c-87a9a89544c7,2021-06-23T22:19:12.676Z,2021-06-28T20:07:32.000Z,7,"No, 11.28m Plot - Core Tree collection",,,,,,,,,,,,,,,,,,,,,,,,7,7,Bl: subalpine fir,,Standing (Live),18.9,,,,8: Younger immature,4 (75-100% healthy),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bb0a8f75-5bc4-43c4-96a7-6ef251c076d8,2021-06-23T22:18:09.796Z,2021-06-28T20:07:30.000Z,7,"No, 11.28m Plot - Core Tree collection",,,,,,,,,,,,,,,,,,,,,,,,7,7,Bl: subalpine fir,,Standing (Live),18.8,,,,8: Younger immature,4 (75-100% healthy),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
