ec5_uuid,created_at,uploaded_at,title,1_Establishing_a_new,lat_3_GPS_Location,long_3_GPS_Location,accuracy_3_GPS_Location,UTM_Northing_3_GPS_Location,UTM_Easting_3_GPS_Location,UTM_Zone_3_GPS_Location,4_Hexagon_,5_Plot_,6_Elevation_m,7_Slope___or_,8_Aspect,9_Slope_Position,10_Surface_Shape,11_Slope_Length,12_Slope_Uniformity,13_Slope_Continuity,14_Photo__North,15_Photo__East,16_Photo__South,17_Photo__West,18_Photo__VegGround,19_Photo__Overhead,20_Additional_Commen,22_Hexagon_,23_Plot_,24_Species,25_If_other_fill_in,26_Is_it_a_snag,27_DBH_cm__tenth_dec,28_Age_Taken,29_If_age_is_taken_r,30_For_tress_that_ar,31_Tree_Class,32_Live_crown_class,33_Conk,34_Blind_Conk,35_Fork_Crook,36_Scar,37_Frost_Damage,38_Mistletoe,39_Rotten_Bark,40_Dead_or_broken_to,41_Insect_Damage,42_Fire_Damage,43_Down_Tree,44_Additional_Commen,lat_46_399m_Plot_Centre_,long_46_399m_Plot_Centre_,accuracy_46_399m_Plot_Centre_,UTM_Northing_46_399m_Plot_Centre_,UTM_Easting_46_399m_Plot_Centre_,UTM_Zone_46_399m_Plot_Centre_,47_Hexagon_,48_Plot_,49_399m_Plot,51_Hexagon_,52_Plot_,53_Sub_Plot_,54_Sapling_or_Regene,55_Species,56_If_other_fill_in,57_Regeneration_Heig,58_Tree_count_indivi,59_Avg_DBH_Sapling_o,60_Avg_Height_Saplin,61_Additional_Commen,lat_63_CWD_POC_Location,long_63_CWD_POC_Location,accuracy_63_CWD_POC_Location,UTM_Northing_63_CWD_POC_Location,UTM_Easting_63_CWD_POC_Location,UTM_Zone_63_CWD_POC_Location,64_Hexagon_,65_Plot_,66_Transect_,67_Azimuth,69_Hexagon_,70_Plot_,71_Transect_,72_Position_along_tr,73_Type_of_CWD,74_If_other_and_it_i,75_Species,76_Decay_class,77_DBH_at_transect_c,78_Length_cm,79_DBH_Left_cm__tent,80_Distance_off_grou,81_DBH_Right_cm__ten,82_Distance_off_grou,83_Tag_Id,84_Additional_Commen
c4a8ffc5-7055-41ec-9890-fe76e6d62b8e,2021-06-11T20:14:07.783Z,2021-06-14T18:37:18.000Z,8,"No, 11.28m Plot - Core Tree collection",,,,,,,,,,,,,,,,,,,,,,,,8,2,Bl: subalpine fir,,Down (Dead) (0-45%),28.9,,,,3: Older Immature. Dead Potential,1 (0-25% healthy),2: Middle 1/3 only,,,,,,,,,,,Sapsucker holes.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b0dce9a-ad6e-4cce-8d16-5bf88d1299cd,2021-06-11T20:12:14.594Z,2021-06-14T18:37:16.000Z,8,"No, 11.28m Plot - Core Tree collection",,,,,,,,,,,,,,,,,,,,,,,,8,2,Fd: douglas-fir,,Down (Dead) (0-45%),36.8,,,,4: Dead useless,1 (0-25% healthy),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79cc00be-41ed-4011-a7d8-5056ce15476d,2021-06-11T20:05:15.975Z,2021-06-14T18:43:11.000Z,8,"No, 11.28m Plot - Core Tree collection",,,,,,,,,,,,,,,,,,,,,,,,8,2,Bl: subalpine fir,,Down (Dead) (0-45%),43,,,,4: Dead useless,1 (0-25% healthy),,,,,,,,,,,G: More than one clean break OR more shattered Break ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f867f9bf-4130-438e-ac43-441effe85f4a,2021-06-11T20:04:52.029Z,2021-06-14T18:37:14.000Z,8,"No, 11.28m Plot - Core Tree collection",,,,,,,,,,,,,,,,,,,,,,,,8,2,Bl: subalpine fir,,Snag (Dead) (45-90%) ,32,,,,3: Older Immature. Dead Potential,1 (0-25% healthy),,,,,,,,,"3: Grey Attach (Balsam, White, Yellow or Lodgepole Pine)",,,Sapsucker and beetle damage.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8ba1e770-eaac-4beb-907a-fb016812b70d,2021-06-11T20:02:35.501Z,2021-06-14T18:43:09.000Z,8,"No, 11.28m Plot - Core Tree collection",,,,,,,,,,,,,,,,,,,,,,,,8,2,Bl: subalpine fir,,Down (Dead) (0-45%),35.7,,,,4: Dead useless,1 (0-25% healthy),,,,,,,,,,,E: Less than or equal to one clean break,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b7854f40-24ec-48de-9212-ca76db3042e1,2021-06-11T20:02:34.655Z,2021-06-14T18:37:12.000Z,8,"No, 11.28m Plot - Core Tree collection",,,,,,,,,,,,,,,,,,,,,,,,8,2,Bl: subalpine fir,,Standing (Live),17,,,,8: Younger immature,3 (50-75% healthy),1: Bottom 1/3 only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d270a7ce-3e5d-46ff-858a-b8952d6fb28a,2021-06-11T20:00:19.129Z,2021-06-14T18:43:07.000Z,8,"No, 11.28m Plot - Core Tree collection",,,,,,,,,,,,,,,,,,,,,,,,8,2,Bl: subalpine fir,,Down (Dead) (0-45%),22.2,,,,3: Older Immature. Dead Potential,1 (0-25% healthy),,,,,,,,,,,E: Less than or equal to one clean break,Sap sucker holes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fc2f067e-1658-4da8-96ac-0ece57362bd4,2021-06-11T19:59:42.678Z,2021-06-14T18:37:10.000Z,8,"No, 11.28m Plot - Core Tree collection",,,,,,,,,,,,,,,,,,,,,,,,8,2,Sx: spruce hybrid,,Standing (Live),14.8,,,,8: Younger immature,3 (50-75% healthy),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c032da7e-b303-475b-af76-686226592733,2021-06-11T19:58:15.608Z,2021-06-14T18:37:08.000Z,8,"No, 11.28m Plot - Core Tree collection",,,,,,,,,,,,,,,,,,,,,,,,8,2,Sx: spruce hybrid,,Standing (Live),9.6,,,,8: Younger immature,3 (50-75% healthy),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
924d1013-59ef-425b-bd46-5b6bc9f70933,2021-06-11T19:57:15.338Z,2021-06-14T18:37:06.000Z,8,"No, 11.28m Plot - Core Tree collection",,,,,,,,,,,,,,,,,,,,,,,,8,2,Sx: spruce hybrid,,Standing (Live),21.6,,,,8: Younger immature,4 (75-100% healthy),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
