Plot.id,Species,Status,DBH,Crown Class,Height,Age,Code,Comments
H11P7,Sx,Live,36.7,4,27.7,49,H11P7SIT1,H11P7SIT1. In
H11P7,Bl,Dead,17,1,,,,
H11P7,Ep,Live,43.4,4,,,,
H11P7,Fd,Live,8.9,4,,,,
H11P7,Bl,Dead,7.8,1,,,,
H11P7,Fd,Live,10.3,3,,,,
H11P7,Bl,Live,11.1,4,,,,
H11P7,Bl,Live,14.5,2,,,,
H11P7,Bl,Dead,17,1,,,,
H11P7,Bl,Live,13.4,1,,,,
H11P7,Bl,Live,17.9,3,,,,
H11P7,Bl,Dead,9.4,1,,,,
H11P7,Sx,Live,16.9,4,,,,
H11P7,Sx,Live,27.8,4,,,,
H11P7,Fd,Live,8.8,4,,,,
H11P7,Bl,Dead,30.2,1,,,,Broken top 1.9m
H11P7,Sx,Live,8,4,,,,
H11P7,Fd,Live,26.6,4,,,,
H11P7,Bl,Live,8.7,3,,,,
H11P7,Bl,Live,12.5,4,,,,
H11P7,Bl,Dead,13,1,,,,
H11P7,Bl,Dead,10.1,1,,,,
H11P7,Bl,Live,13.6,3,,,,
H11P7,Fd,Live,8.6,4,,,,
H11P7,Sx,Live,11.1,4,,,,
H11P7,Bl,Dead,7.6,1,,,,
H11P7,Bl,Live,12.8,4,,,,
H11P7,Bl,Dead,8.3,1,,,,
H11P7,Bl,Live,12.3,4,,,,
H11P7,Bl,Live,14.5,4,,,,
H11P7,Bl,Live,15.2,4,,,,
H11P7,Bl,Live,23.5,4,,,,
H11P7,Bl,Live,7.8,4,,,,
H11P7,Sx,Live,18.5,4,,,,
H11P7,Bl,Live,7.7,3,,,,
H11P7,Bl,Live,19.7,3,,,,
H11P7,Bl,Live,9.6,2,,,,
H11P7,Bl,Live,11.1,3,,,,
H11P7,Bl,Live,7.5,3,,,,
H11P7,Bl,Dead,10.4,1,,,,
H11P7,Bl,Live,18.2,4,,,,
H11P7,Bl,Live,7.6,3,,,,
H11P7,Bl,Live,15.5,4,,,,
H11P7,Bl,Live,10.5,4,,,,
H11P7,Bl,Live,10.7,4,,,,
H11P7,Bl,Dead,8.5,1,,,,
H11P7,Bl,Live,11.7,3,,,,
H11P7,Sx,Live,24.1,4,,,,
H11P7,Bl,Live,7.5,3,,,,
H11P7,Ep,Live,16.3,4,,,,
H11P7,Sx,Live,9.8,3,,,,
H11P7,Sx,Live,23.7,4,,,,
H11P7,Sx,Live,9.8,4,,,,
H11P7,Sx,Live,20.4,4,,,,
H11P7,Ep,Live,16.2,4,,,,
H11P7,Bl,Live,15,3,,,,
H11P7,Sx,Live,30,4,,,,
H11P7,Bl,Live,8,3,,,,
H11P7,Bl,Dead,10.6,1,,,,Broken top 7m
H11P7,Sx,Live,19.2,4,,,,
H11P7,Bl,Live,17.5,4,,,,
H11P7,Bl,Live,17.9,3,,,,
H11P7,Bl,Live,11.7,4,,,,
H11P7,Bl,Live,19.4,4,,,,
H11P7,Bl,Live,11.3,4,,,,
H11P7,Bl,Dead,8,1,,,,
H11P7,Fd,Live,9.3,4,,,,
H11P7,Fd,Live,14.2,4,,,,
H11P7,Bl,Live,7.5,2,,,,
H11P7,Sx,Dead,13.9,1,,,,
H11P7,Bl,Dead,14.7,1,,,,
H11P7,Sx,Live,47.5,4,,,,
H11P7,Bl,Live,17.5,3,,,,
H11P7,Bl,Live,7.9,1,,,,
H11P7,Bl,Live,22.9,4,,,,
H11P7,Bl,Live,,3,,,,
