Plot.id,Species,Status,DBH,Crown Class,Height,Age,Code,Comments
H8P6,Fd,Live,49.5,4,,,,
H8P6,Fd,Live,42.6,4,,,,
H8P6,Bl,Live,18.8,4,,,,
H8P6,Fd,Live,39.4,4,,,,
H8P6,Fd,Live,47.7,4,,,,
H8P6,Bl,Live,9.8,4,,,,
H8P6,Fd,Live,35.6,4,,,,
H8P6,Fd,Live,37.7,4,,,,
H8P6,Sx,Live,14.5,4,,,,
H8P6,Fd,Dead,21.8,1,,,,Break at 1.5m
H8P6,Sx,Live,11.6,4,,,,
H8P6,Bl,Live,8.8,3,,,,
H8P6,Sx,Live,24.5,3,,,,
H8P6,Fd,Live,49.6,4,,,,
H8P6,Fd,Live,24.2,3,,,,
H8P6,Fd,Live,42.7,4,,,,
H8P6,Pl,Dead,17.9,1,,,,
H8P6,Pl,Dead,18.4,1,,,,
H8P6,Sx,Live,7.5,4,,,,
H8P6,Fd,Live,48.8,4,,,,
H8P6,Bl,Live,8.2,4,,,,
H8P6,Sx,Live,31.1,4,,,,
H8P6,Sx,Live,9.3,4,,,,
H8P6,Sx,Live,7.7,4,,,,
H8P6,Bl,Live,9.1,3,,,,
H8P6,Sx,Live,21.8,4,20.8,48,H8P6SIT1,H8P6SIT1 in plot
H8P6,Sx,Live,7.7,4,,,,
H8P6,Sx,Live,20.3,4,,,,
H8P6,Sx,Live,8.6,3,,,,
H8P6,Bl,Live,9.7,3,,,,
H8P6,Fd,Live,44.4,4,,,,
H8P6,Bl,Live,8,4,,,,
H8P6,Bl,Live,10.1,4,,,,
H8P6,Bl,Live,8.3,4,,,,
H8P6,Bl,Live,7.5,4,,,,
H8P6,Bl,Live,22.1,4,,,,
H8P6,Bl,Live,15.6,4,,,,
H8P6,Bl,Live,8.1,4,,,,
H8P6,Bl,Live,7.6,1,,,,
H8P6,Bl,Live,10.7,4,,,,
H8P6,Bl,Live,7.9,4,,,,
H8P6,Bl,Live,21.1,4,,,,
