"","ec5_uuid","created_at","Test","Hexagon","Plot","Species","Other_spp","Live_status","DBH","X28_Age_Taken","Code","Height.x","Cruise_tree_class","Crown_class","Conk","Blind_conk","Fork_crook","Scar","Frost_damage","Mistletoe","Rotten_bark","Dead_broken_top","Insect_damage","Fire_damage","Down_tree","Comments","Species1.x","Plot.id","Date","Species1.y","Distance","Bearing","Height.y","Age.ca","Technique","Additional.Comments"
"1","eb690350-f4e8-11eb-8b6b-43291cd259b0","2021-08-04T05:57:58.406Z","No, 11.28m Plot - Core Tree collection","1","2","Sb: black spruce",NA,"Standing (Live)",28.1,"Yes","H1P2SIT4",25.3,"1: Older Immature","4 (75-100% healthy)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sb","H1P2",NA,NA,6.39,NA,NA,NA,"SXBlue-IPAD",NA
"2","80afd890-f4e8-11eb-8b6b-43291cd259b0","2021-08-04T05:54:59.353Z","No, 11.28m Plot - Core Tree collection","1","2","Sb: black spruce",NA,"Standing (Live)",22.6,"Yes","H1P2SIT3",36.1,"1: Older Immature","3 (50-75% healthy)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sb","H1P2",NA,NA,11.05,NA,NA,NA,"SXBlue-IPAD",NA
"3","1655b330-f4e7-11eb-8b6b-43291cd259b0","2021-08-04T05:44:51.431Z","No, 11.28m Plot - Core Tree collection","1","2","Sx: spruce hybrid",NA,"Standing (Live)",36.9,"Yes","H1P2SIT2",28.8,"1: Older Immature","4 (75-100% healthy)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sx","H1P2",NA,NA,9.21,NA,NA,NA,"SXBlue-IPAD",NA
"4","0305bf59-9887-49a7-8c22-7827e978aa4f","2021-08-04T05:26:54.900Z","No, 11.28m Plot - Core Tree collection","3","2","Bl: subalpine fir",NA,"Standing (Live)",28.7,"Yes","H3P2SIT4",23.6,"5: Mature","4 (75-100% healthy)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bl","H3P2",NA,NA,10.2,NA,NA,NA,"SXBlue-IPAD",NA
"5","b33dbc73-6291-4dbf-8e3e-ab6974ae3dfe","2021-08-04T05:25:37.509Z","No, 11.28m Plot - Core Tree collection","3","2","Bl: subalpine fir",NA,"Standing (Live)",30.7,"Yes","H3P2SIT3",28.2,"8: Younger immature","4 (75-100% healthy)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bl","H3P2",NA,NA,9.3,NA,NA,NA,"SXBlue-IPAD",NA
"6","e209f9c1-dfed-4162-b005-897ddb968b83","2021-08-04T05:24:06.763Z","No, 11.28m Plot - Core Tree collection","3","2","Sx: spruce hybrid",NA,"Standing (Live)",53.4,"Yes","H3P2SIT2",23.8,"8: Younger immature","4 (75-100% healthy)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sx","H3P2",NA,NA,13.3,NA,NA,NA,"SXBlue-IPAD",NA
"7","f51b7c64-bc87-4fa3-b84b-edc8cc59bb83","2021-08-04T05:22:48.432Z","No, 11.28m Plot - Core Tree collection","3","2","Sx: spruce hybrid",NA,"Standing (Live)",48.5,"Yes","H3P2SIT1",27.8,"8: Younger immature","4 (75-100% healthy)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sx","H3P2",NA,NA,5.31,NA,NA,NA,"SXBlue-IPAD",NA
"8","e9a18582-08a1-45e2-b9af-acfe461b006b","2021-08-04T05:21:48.276Z","No, 11.28m Plot - Core Tree collection","1","1","Ac: poplar",NA,"Standing (Live)",55.1,"Yes","H1P1SIT4",22.8,"5: Mature","4 (75-100% healthy)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ac","H1P1",NA,NA,5.69,NA,NA,NA,"SXBlue-IPAD",NA
"9","41b68277-4300-40d8-9dd1-2c5827019456","2021-08-04T05:20:38.819Z","No, 11.28m Plot - Core Tree collection","1","1","Ac: poplar",NA,"Standing (Live)",61.5,"Yes","H1P1SIT3",33,"5: Mature","4 (75-100% healthy)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ac","H1P1",NA,NA,14.63,NA,NA,NA,"SXBlue-IPAD",NA
"10","52a65a3a-a7a0-40de-9c0f-faf1ae483a51","2021-08-04T05:19:04.642Z","No, 11.28m Plot - Core Tree collection","1","1","Sx: spruce hybrid",NA,"Standing (Live)",61.5,"Yes","H1P1SIT2",42.6,"2: Older immature - Suspect","4 (75-100% healthy)",NA,NA,NA,"1: Bottom 1/3 only",NA,NA,NA,NA,NA,NA,NA,NA,"Sx","H1P1",NA,NA,24.606,NA,NA,NA,"SXBlue-IPAD",NA
