"","Plot.id","Hexagon","Plot","Species","Status","DBH","Crown.class","Height","Code","Comments","Date","Species1","Distance","Bearing","Age.ca","Technique","Additional.Comments"
"1","H11P1","11","1","Bl","Dead",25.6,"1",NA,"","",NA,NA,0,NA,NA,NA,NA
"2","H11P1","11","1","Bl","Live",49.6,"1",NA,"","",NA,NA,0,NA,NA,NA,NA
"3","H11P1","11","1","Bl","Dead",7.8,"1",NA,"","",NA,NA,0,NA,NA,NA,NA
"4","H11P1","11","1","Bl","Live",33.5,"4",NA,"","",NA,NA,0,NA,NA,NA,NA
"5","H11P1","11","1","Bl","Dead",28.1,"1",NA,"","",NA,NA,0,NA,NA,NA,NA
"6","H11P1","11","1","Bl","Live",23.9,"4",NA,"","",NA,NA,0,NA,NA,NA,NA
"7","H11P1","11","1","Sx","Live",18.5,"4",NA,"","",NA,NA,0,NA,NA,NA,NA
"8","H11P1","11","1","Sx","Live",7.9,"3",NA,"","",NA,NA,0,NA,NA,NA,NA
"9","H11P1","11","1","Sx","Live",17.7,"4",NA,"","",NA,NA,0,NA,NA,NA,NA
"10","H11P1","11","1","Sx","Live",37.2,"4",24.9,"H11P1SIT1","H11P1SIT1, IN","05-Sep-21","Sx",5.75,222,"55","Bearing and distance from plot center",NA
"11","H11P1","11","1","Bl","Live",41,"4",NA,"","",NA,NA,0,NA,NA,NA,NA
"12","H11P1","11","1","Sx","Live",13.3,"4",NA,"","",NA,NA,0,NA,NA,NA,NA
"13","H11P1","11","1","Sx","Live",16.9,"4",NA,"","",NA,NA,0,NA,NA,NA,NA
"14","H11P1","11","1","Bl","Dead",10.8,"1",NA,"","Broken top at 4m",NA,NA,0,NA,NA,NA,NA
"15","H11P1","11","1","Bl","Live",8.5,"4",NA,"","",NA,NA,0,NA,NA,NA,NA
"16","H11P1","11","1","Bl","Live",20.9,"4",NA,"","",NA,NA,0,NA,NA,NA,NA
"17","H11P1","11","1","Sx","Live",10.2,"4",NA,"","",NA,NA,0,NA,NA,NA,NA
