ec5_uuid,created_at,uploaded_at,title,1_Establishing_a_new,lat_3_GPS_Location,long_3_GPS_Location,accuracy_3_GPS_Location,UTM_Northing_3_GPS_Location,UTM_Easting_3_GPS_Location,UTM_Zone_3_GPS_Location,4_Hexagon_,5_Plot_,6_Elevation_m,7_Slope___or_,8_Aspect,9_Slope_Position,10_Surface_Shape,11_Slope_Length,12_Slope_Uniformity,13_Slope_Continuity,14_Photo__North,15_Photo__East,16_Photo__South,17_Photo__West,18_Photo__VegGround,19_Photo__Overhead,20_Additional_Commen,22_Hexagon_,23_Plot_,24_Species,25_If_other_fill_in,26_Is_it_a_snag,27_DBH_cm__tenth_dec,28_Age_Taken,29_If_age_is_taken_r,30_For_tress_that_ar,31_Tree_Class,32_Live_crown_class,33_Conk,34_Blind_Conk,35_Fork_Crook,36_Scar,37_Frost_Damage,38_Mistletoe,39_Rotten_Bark,40_Dead_or_broken_to,41_Insect_Damage,42_Fire_Damage,43_Down_Tree,44_Additional_Commen,lat_46_399m_Plot_Centre_,long_46_399m_Plot_Centre_,accuracy_46_399m_Plot_Centre_,UTM_Northing_46_399m_Plot_Centre_,UTM_Easting_46_399m_Plot_Centre_,UTM_Zone_46_399m_Plot_Centre_,47_Hexagon_,48_Plot_,49_399m_Plot,51_Hexagon_,52_Plot_,53_Sub_Plot_,54_Sapling_or_Regene,55_Species,56_If_other_fill_in,57_Regeneration_Heig,58_Tree_count_indivi,59_Avg_DBH_Sapling_o,60_Avg_Height_Saplin,61_Additional_Commen,lat_63_CWD_POC_Location,long_63_CWD_POC_Location,accuracy_63_CWD_POC_Location,UTM_Northing_63_CWD_POC_Location,UTM_Easting_63_CWD_POC_Location,UTM_Zone_63_CWD_POC_Location,64_Hexagon_,65_Plot_,66_Transect_,67_Azimuth,69_Hexagon_,70_Plot_,71_Transect_,72_Position_along_tr,73_Type_of_CWD,74_If_other_and_it_i,75_Species,76_Decay_class,77_DBH_at_transect_c,78_Length_cm,79_DBH_Left_cm__tent,80_Distance_off_grou,81_DBH_Right_cm__ten,82_Distance_off_grou,83_Tag_Id,84_Additional_Commen
f497486f-cdb9-4f03-b0d7-e5fef6f4115f,2021-07-22T22:28:50.484Z,2021-07-23T15:17:52.000Z,14,"No, 11.28m Plot - Core Tree collection",,,,,,,,,,,,,,,,,,,,,,,,14,5,Bl: subalpine fir,,Standing (Live),21.4,,,,8: Younger immature,4 (75-100% healthy),,,,,1: Bottom 1/3 only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b334dc06-8fd8-4fef-a344-e7bc46d75572,2021-07-22T22:27:18.654Z,2021-07-23T15:17:49.000Z,14,"No, 11.28m Plot - Core Tree collection",,,,,,,,,,,,,,,,,,,,,,,,14,5,Bl: subalpine fir,,Standing (Live),10.9,,,,8: Younger immature,3 (50-75% healthy),,,2: Middle 1/3 only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0f0effcb-a984-4993-b2e6-b49cd1158c04,2021-07-22T22:26:35.323Z,2021-07-23T15:17:46.000Z,14,"No, 11.28m Plot - Core Tree collection",,,,,,,,,,,,,,,,,,,,,,,,14,5,Bl: subalpine fir,,Snag (Dead) (45-90%) ,11.6,,,,8: Younger immature,1 (0-25% healthy),,,3: Top 1/3 only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8348c8ab-0479-4eee-938f-d0db18ea2d76,2021-07-22T22:25:31.818Z,2021-07-23T15:17:43.000Z,14,"No, 11.28m Plot - Core Tree collection",,,,,,,,,,,,,,,,,,,,,,,,14,5,Bl: subalpine fir,,Standing (Live),9.1,,,,8: Younger immature,3 (50-75% healthy),,,3: Top 1/3 only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16d3ad35-0743-47a0-8d36-4a8c9925ac2e,2021-07-22T22:25:29.088Z,2021-07-23T15:12:42.000Z,14,"No, 11.28m Plot - Core Tree collection",,,,,,,,,,,,,,,,,,,,,,,,14,5,Bl: subalpine fir,,Standing (Live),19.1,,,,8: Younger immature,1 (0-25% healthy),,,,,,,,,"2: Red Attach (Balsam, White, Yellow or Lodgepole Pine)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51eff8a7-bfa7-41e5-b4c5-4ccb2cf6c924,2021-07-22T22:24:20.717Z,2021-07-23T15:17:40.000Z,14,"No, 11.28m Plot - Core Tree collection",,,,,,,,,,,,,,,,,,,,,,,,14,4,Bl: subalpine fir,,Standing (Live),13.5,,,,8: Younger immature,4 (75-100% healthy),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b7a40167-9e56-4a42-9dbb-d953b07b8302,2021-07-22T22:23:15.405Z,2021-07-23T15:17:37.000Z,14,"No, 11.28m Plot - Core Tree collection",,,,,,,,,,,,,,,,,,,,,,,,14,5,Bl: subalpine fir,,Standing (Live),12.1,,,,8: Younger immature,2 (25-50% healthy),,,,,,,,3: Top 1/3 only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9ad4e5ea-bdf3-43ca-8528-932c97a57bb8,2021-07-22T22:22:39.619Z,2021-07-23T15:12:36.000Z,14,"No, 11.28m Plot - Core Tree collection",,,,,,,,,,,,,,,,,,,,,,,,14,5,Bl: subalpine fir,,Snag (Dead) (45-90%) ,22.7,,,,8: Younger immature,1 (0-25% healthy),,,,,,,,,"3: Grey Attach (Balsam, White, Yellow or Lodgepole Pine)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6bea9b06-227e-4eb5-8ffb-59e60d297d31,2021-07-22T22:22:26.494Z,2021-07-23T15:11:46.000Z,14,"No, 11.28m Plot - Core Tree collection",,,,,,,,,,,,,,,,,,,,,,,,14,5,Bl: subalpine fir,,Standing (Live),12.6,,,,8: Younger immature,3 (50-75% healthy),,,3: Top 1/3 only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1d35fdd4-a6fa-4963-9695-850247bc9116,2021-07-22T22:20:36.419Z,2021-07-23T15:11:43.000Z,14,"No, 11.28m Plot - Core Tree collection",,,,,,,,,,,,,,,,,,,,,,,,14,5,Bl: subalpine fir,,Standing (Live),12.9,,,,8: Younger immature,4 (75-100% healthy),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
