fid,HEIGHT,ELEVATION,SLOPE,ASPECT,DENSITY,LOC_DENSTY,CANOPYAREA,CANOPYDIAM,CANPYRATIO,LV_CPY_PCT,NM_LDR_PTS,NM_FLT_LNS,AVG_INT_R1,LIDAR_YR,SITE_INDEX,ID,AREA_TYPE,SPECIES,SP_RANKING,NETMERCHVO,PRIM_PROD,HD_RIG_VOL,LG_SAW_VOL,MD_SAW_VOL,SM_SAW_VOL,WASTE_VOL,GROSS_VOL,BIOMASS,BASAL_AREA,IMPLIEDDBH,GRID_NAME,HEXAGON,Area,Group,PLOT_ID,SPHt,BA.ha
6491,31.396,782.534,21.039,315,496.176,413.803,15.5,4,0.266529,0.428571,511,1,40807,2015,0,5007861_6922,SG,fd,sx_at_ac_bl_ep,1.33599,MS,0,0,0.98533,0.35066,0,1.37205,1010.6,0.11901,38.927,D4,2,10.582,A,1,25,2.97525
6500,21.645,782.565,20.9,315,496.176,445.634,6.5,3,0.266529,0.204545,192,1,34898,2015,0,5007861_6942,SG,ep,at_sx_ac_pl_bl,0.58599,SS,0,0,0.24724,0.33875,0,0.61467,366.2,0.05968,27.566,D4,2,10.582,A,1,25,1.492
6501,22.31,782.58,21.201,315,496.176,413.803,9,3,0.266529,0.288889,308,1,37286,2015,0,5007861_6943,SG,at,sx_fd_ep_ac_bl,0.31381,SS,0,0,0,0.31381,0,0.34527,205.7,0.03281,20.44,D4,2,10.582,A,1,25,0.82025
6402,25.929,781.191,23.4,315,496.176,541.127,11.5,3.5,0.266529,0.269231,543,1,38259,2015,0,5007861_6697,SG,ep,at_ac_fd_sx_pl,0.88223,MS,0,0,0.56127,0.32096,0,0.9146,544.8,0.07476,30.853,D4,2,10.582,A,1,25,1.869
6403,21.339,781.301,20.5,315,496.176,572.958,7.5,3,0.266529,0.162791,209,1,38741,2015,0,5007861_6698,SG,at,sx_pl_bl_dp_ep,0.29445,SS,0,0,0,0.29445,0,0.32513,193.7,0.03222,20.253,D4,2,10.582,A,1,25,0.8055
6400,18.077,781.063,22.25,315,496.176,445.634,6.5,2.5,0.266529,0.594595,258,1,38485,2015,0,5007861_6695,SG,sx,bl_at_ep_pl_ac,0.17017,SS,0,0,0,0.17017,0,0.19848,135.4,0.02484,17.784,D4,2,10.582,A,1,25,0.621
6393,21.626,780.934,21.289,315,496.176,541.127,5.5,3,0.266529,0.159091,151,1,38515,2015,0,5007861_6672,SG,at,sx_pl_fd_ep_bl,0.28695,SS,0,0,0,0.28695,0,0.31837,189.7,0.03117,19.921,D4,2,10.582,A,1,25,0.77925
6401,17.466,781.084,21.6,0,496.176,413.803,2.5,1.5,0.266529,0.4,75,1,42969,2015,0,5007861_6696,SG,bl,sx_pl_fd_at_ep,0,WA,0,0,0,0,0,0.14322,93.1,0.01757,14.955,D4,2,10.582,A,1,25,0.43925
6372,25.515,780.875,21.45,0,496.176,477.465,5,3,0.266529,0.269231,162,1,38630,2015,0,5007861_6625,SG,at,fd_sx_bl_ep_pl,0.45815,SS,0,0,0,0.45815,0,0.49009,291.9,0.04095,22.835,D4,2,10.582,A,1,25,1.02375
6325,16.938,780.082,22.536,315,496.176,604.789,2.25,1.5,0.266529,0.411765,70,1,41868,2015,0,5007861_6509,SG,bl,sb_sx_fd_pl_dp,0,WA,0,0,0,0,0,0.12481,81.1,0.01577,14.168,D4,2,10.582,A,1,25,0.39425
6336,14.32,780.44,22.907,315,496.176,509.296,3.25,2,0.266529,0.413793,64,1,41530,2015,0,5007861_6532,SG,sx,bl_at_fd_ep_pl,0,WA,0,0,0,0,0,0.10245,69.9,0.01593,14.242,D4,2,10.582,A,1,25,0.39825
